SHOP_CODE,ITEM_CODE,ITEM_NAME,PRICE,ERP_QTY,DEPT
HAA,09912,"GINO TOMATO PASTE 22KG 6",69.99,2,SUPERMARKET
TMP,09915,"POMO TOMATO PASTE 22KG 6",69.99,10,SUPERMARKET
KAS,100030,"NANAS RICE LONG GRAIN RICE 5 BROKENNESS 1KG 20",32.99,1,SUPERMARKET
MSS,100031,"NANAS RICE LONG GRAIN RICE 5 BROKENNESS 45KG 5",140.99,27,SUPERMARKET
M03,100052,"DOVE BABY HEAD TO TOE WASH RICH 400ML  6",59.99,3,SUPERMARKET
HAA,100059,"STORAGE RACK WWHEELS 4 LAYER PLASTIC 7073 YWU",199,1,"HOUSEWARE & KITCHENWARE"
TMP,100059,"STORAGE RACK WWHEELS 4 LAYER PLASTIC 7073 YWU",199,1,"HOUSEWARE & KITCHENWARE"
MSS,100078,"DOVE HAND AND BODY LOTION EXDRY 400ML  12",77.99,2,SUPERMARKET
SPN,100093,"BEAUTY FORMULA FLOURIDE CHARCOAL TOOTHPASTE 125ML",29.99,129,SUPERMARKET
TMP,100242,"CELLO HOTPOT REGENT 2P 11001600ML",99,-2,"HOUSEWARE & KITCHENWARE"
ACH,100245,"BEDSHEET SET KINGSIZE 125GSM 3P KBS77",179,11,"HOME DECOR & TEXTILES"
KS7,100246,"BEDSHEET SET QUEENSIZE 125GSM 3PCS QBS76",159,20,"HOME DECOR & TEXTILES"
KS7,100247,"BEDSHEET SET SINGLE SIZE 125GSM 2PCS SBS75",99,26,"HOME DECOR & TEXTILES"
HAA,100336,"GAS REGULATOR WMETER V80",95,12,"GAS COOKER & ACCESSORIES"
ACH,10035,"BAILEYS IRISH CREAM 200ML 24",123.99,92,SUPERMARKET
LFS,100358,"STANDING ELECTRIC BLACKBOARD 60X80CM",429,1,STATIONERY
SPN,100359,"HANGING ELECTRIC BLACKBOARD 5070CM",289,8,STATIONERY
LFS,100359,"HANGING ELECTRIC BLACKBOARD 5070CM",289,21,STATIONERY
MDN,100405,"KAREES NATURAL BROWN SUGAR BOTTLE 800G 12",33.99,12,SUPERMARKET
TMP,100405,"KAREES NATURAL BROWN SUGAR BOTTLE 800G 12",33.99,17,SUPERMARKET
FAR,100410,"KAREES NATURAL BROWN SUGAR BOTTLE  400G 20",19.99,19,SUPERMARKET
TMP,100410,"KAREES NATURAL BROWN SUGAR BOTTLE  400G 20",19.99,21,SUPERMARKET
TMP,100420,"KAREES NATURAL WHITE SUGAR  BOTTLE 400G 20",19.99,20,SUPERMARKET
MDN,100420,"KAREES NATURAL WHITE SUGAR  BOTTLE 400G 20",19.99,15,SUPERMARKET
ADB,100420,"KAREES NATURAL WHITE SUGAR  BOTTLE 400G 20",19.99,20,SUPERMARKET
LFS,100505,"LONG MOUNTAIN NATURAL SWEET WHITE WINE 750ML 6",65.99,17,SUPERMARKET
M04,100506,"LONG MOUNTAIN NATURAL SWEET RED WINE 750ML 6",65.99,43,SUPERMARKET
LFS,100554,"CURTAIN DAMASK 2PCS NAVY 02PA60553F",149,1,"HOME DECOR & TEXTILES"
MDN,100657,"MASTERCHEF SKIMMER BLACK NYLON MC14309F RJK",14.9,14,"HOUSEWARE & KITCHENWARE"
ACH,100658,"MASTERCHEF PIZZA CUTTER BLACK MC32009 RJK",19.9,26,"HOUSEWARE & KITCHENWARE"
MAS,100666,"MASTERCHEF SKIMMER NYLON MC32209 RJK",19.9,17,"HOUSEWARE & KITCHENWARE"
TMP,100666,"MASTERCHEF SKIMMER NYLON MC32209 RJK",19.9,7,"HOUSEWARE & KITCHENWARE"
HAA,100666,"MASTERCHEF SKIMMER NYLON MC32209 RJK",19.9,12,"HOUSEWARE & KITCHENWARE"
SPN,100686,"BOTTLE AND CAN OPENER CA6204 RJK",6.9,4,"HOUSEWARE & KITCHENWARE"
FAR,100732,"HANDRAIL LSHAPE 60X40CM 2W003",239,18,"HARDWARE & BUILDING MATERIAL"
SPN,10075,"ELLEVIRE SALTED BUTTER ROLLS 250G 12",89.99,32,SUPERMARKET
SPN,100776,"CASIO MUSICAL  KEYBOARD  CTX800C2",4689,1,"ELECTRONICS & TELECOM"
TMP,100785,"TRAMPOLINE 6FT WSAFETY NETPADDING AX00163",1699,3,"SPORTS & FITNESS"
SPN,100785,"TRAMPOLINE 6FT WSAFETY NETPADDING AX00163",1699,5,"SPORTS & FITNESS"
ADB,100791,"EDIBLE ICE CUBES 2268KG 1",13.49,35,SUPERMARKET
KCS,100792,"FLIRT PURE DISTILLED VODKA LEMON  375ALC 1L  6",133.99,8,SUPERMARKET
M04,100796,"ZOMBA GREEN COCKTAIL 0 ALC 750ML 6",42.49,10,SUPERMARKET
GBA,100799,"ZOMBA YELLOW COCKTAIL 0 ALC 750ML 6",42.49,25,SUPERMARKET
MSS,100812,"LA SALUD ORIGINAL BLUE  DETERGENT 4L  4",139.99,2,SUPERMARKET
SPN,100814,"LA SALUD COLOR CLOTHING DETERGENT GEL 4L  4",139.99,6,SUPERMARKET
MSS,100827,"BOSCH JIGSAW 450W GST 650 06015A8000",949,2,"HARDWARE & BUILDING MATERIAL"
ACH,100831,"BOSCH SCREW DRIVER 12V GSB 120LI 06019G81L0UUU",1949,1,"HARDWARE & BUILDING MATERIAL"
SPN,100846,"NOTE BOOK WBALL PEN 4DESIGN MIX",19.99,32,STATIONERY
FAR,100854,"PROTEIN SHAKER WMIXER 550ML",49,3,"SPORTS & FITNESS"
ACH,100888,"SAYONA HOME THEATRE 100W SHT1204BT",1599,2,"ELECTRONICS & TELECOM"
TMP,100888,"SAYONA HOME THEATRE 100W SHT1204BT",1599,3,"ELECTRONICS & TELECOM"
LFS,100968,"CURTAIN POLYESTER 52X84  WHANGER DRTH1493",129,8,"HOME DECOR & TEXTILES"
LFS,100969,"CURTAIN POLYESTER 52X84  WHANGER DRTH194",129,29,"HOME DECOR & TEXTILES"
KS7,100977,"CURTAIN POLYESTER 54X84  WHANGER DRTH182",229,14,"HOME DECOR & TEXTILES"
TMP,100981,"CURTAIN POLYESTER 54X84  WHANGER DRTH336",169,17,"HOME DECOR & TEXTILES"
LFS,100985,"CURTAIN POLYESTER 52X84 WHANGER DRTH158",159,27,"HOME DECOR & TEXTILES"
TMP,100987,"CURTAIN 3D POLYESTER 52X84  WHANGER FRBB 6240",129,15,"HOME DECOR & TEXTILES"
LFS,100990,"CURTAIN POLYESTER 52X84  WHANGER DRTH016",149,21,"HOME DECOR & TEXTILES"
